lr,weight_decay,optimizer_type,epochs,val_accuracy,val_loss
0.001,0.0,adam,10,0.5954692556634305,1.111545524536035
0.001,0.0,sgd,10,0.5889967637540453,1.0113450426321764
0.001,0.0001,adam,10,0.6407766990291263,1.3696179550427656
0.001,0.0001,sgd,10,0.5889967637540453,1.0137193004290264
0.0005,0.0,adam,10,0.6270226537216829,1.3792535769633758
0.0005,0.0,sgd,10,0.5889967637540453,
0.0005,0.0001,adam,10,0.5970873786407767,1.516258255029336
0.0005,0.0001,sgd,10,0.5889967637540453,1.0333660336641164
